variable,label,type,value_labels,n_value_labels,n_2017,n_2020,source,versions,label_variants,value_label_conflicts
s5q4_4_a,5.4.4 Quantity of traditional seeds bought  ( Kg),double,,0,12828,0,,,,
s5q4_5_a,5.4.5 Amount spent for the purchase of traditional seeds ( RWF),int32,,0,6899,0,,,,
s5q4_6_a,5.4.6 Quantity of improved seeds sown (Kg),double,,0,2213,0,,,,
s5q4_7_a,5.4.7 Quantity of improved seed brought (Kg),double,,0,2211,0,,,,
s5q4_8_a,5.4.8 Amount spent to the purchase of seeds (RWF),int32,,0,2075,0,,,,
s5q4_9_a,5.4.9 Source of improved seeds used,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,2211,0,,,,
s5q4_1_b,5.4.1 Crops planted in season A-Crop 2,int16,"97=Pasture, 98=Fallow, 99=Non-agricultural, 101=Maize, 102=Paddy rice …",90,12735,0,,,,
s5q4_2_b,5.4.2 Type of seeds used season A,int8,"1=Traditional seeds, 2=Improved seeds, 3=Both",3,12735,0,,,,
s5q4_3_b,5.4.3 Quantity of traditional seeds  sown  ( Kg),double,,0,11692,0,,,,
s5q4_4_b,5.4.4 Quantity of traditional seeds bought  ( Kg),double,,0,11693,0,,,,
s5q4_5_b,5.4.5 Amount spent for the purchase of traditional seeds ( RWF),int32,,0,6166,0,,,,
s5q4_6_b,5.4.6 Quantity of improved seeds sown (Kg),double,,0,1093,0,,,,
s5q4_7_b,5.4.7 Quantity of improved seed brought (Kg),double,,0,1093,0,,,,
s5q4_8_b,5.4.8 Amount spent to the purchase of seeds (RWF),int32,,0,1074,0,,,,
s5q4_9_b,5.4.9 Source of improved seeds used,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,1093,0,,,,
s5q4_1_c,5.4.1 Crops planted in season A-Crop 3,int16,"97=Pasture, 98=Fallow, 99=Non-agricultural, 101=Maize, 102=Paddy rice …",90,8298,0,,,,
s5q4_2_c,5.4.2 Type of seeds used season A,int8,"1=Traditional seeds, 2=Improved seeds, 3=Both",3,8298,0,,,,
s5q4_3_c,5.4.3 Quantity of traditional seeds  sown  ( Kg),double,,0,7862,0,,,,
s5q4_4_c,5.4.4 Quantity of traditional seeds bought  ( Kg),double,,0,7862,0,,,,
s5q4_5_c,5.4.5 Amount spent for the purchase of traditional seeds ( RWF),int32,,0,4132,0,,,,
s5q4_6_c,5.4.6 Quantity of improved seeds sown (Kg),double,,0,441,0,,,,
s5q4_7_c,5.4.7 Quantity of improved seed brought (Kg),double,,0,441,0,,,,
s5q4_8_c,5.4.8 Amount spent to the purchase of seeds (RWF),int32,,0,438,0,,,,
s5q4_9_c,5.4.9 Source of improved seeds used,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,441,0,,,,
s5q4_10_a,5.4.10 Crops planted in season B-Crop 1,int16,"97=Pasture, 98=Fallow, 99=Non-agricultural, 101=Maize, 102=Paddy rice …",90,15129,0,,,,
s5q4_11_a,5.4.11 Type of seeds used season B,int8,"1=Traditional seeds, 2=Improved seeds, 3=Both",3,15129,0,,,,
s5q4_12_a,5.4.12 Quantity of traditional seeds  sown  ( Kg),double,,0,14098,0,,,,
s5q4_13_a,5.4.13 Quantity of traditional seeds bought  ( Kg),double,,0,14097,0,,,,
s5q4_14_a,5.4.14 Amount spent for the purchase of traditional seeds ( RWF),int32,,0,6383,0,,,,
s5q4_15_a,5.4.15 Source of improved seeds/seedling,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,978,0,,,,
s5q4_16_a,5.4.16 Quantity of improved seeds  sown  ( Kg),double,,0,978,0,,,,
s5q4_17_a,5.4.17 Quantity of improved seeds bought  ( Kg),double,,0,978,0,,,,
s5q4_18_a,5.4.18 Amount spent for the purchase of improved seeds ( RWF),int32,,0,902,0,,,,
s5q4_10_b,5.4.10 Crops planted in season B-Crop 2,int16,"97=Pasture, 98=Fallow, 99=Non-agricultural, 101=Maize, 102=Paddy rice …",90,12202,0,,,,
s5q4_11_b,5.4.11 Type of seeds used season B,int8,"1=Traditional seeds, 2=Improved seeds, 3=Both",3,12202,0,,,,
s5q4_12_b,5.4.12 Quantity of traditional seeds  sown  ( Kg),double,,0,11494,0,,,,
s5q4_13_b,5.4.13 Quantity of traditional seeds bought  ( Kg),double,,0,11494,0,,,,
s5q4_14_b,5.4.14 Amount spent for the purchase of traditional seeds ( RWF),int32,,0,4914,0,,,,
s5q4_15_b,5.4.15 Source of improved seeds/seedling,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,585,0,,,,
s5q4_16_b,5.4.16 Quantity of improved seeds  sown  ( Kg),double,,0,586,0,,,,
s5q4_17_b,5.4.17 Quantity of improved seeds bought  ( Kg),double,,0,586,0,,,,
s5q4_18_b,5.4.18 Amount spent for the purchase of improved seeds ( RWF),int32,,0,578,0,,,,
s5q4_10_c,5.4.10 Crops planted in season B-Crop 3,int16,"97=Pasture, 98=Fallow, 99=Non-agricultural, 101=Maize, 102=Paddy rice …",90,7109,0,,,,
s5q4_11_c,5.4.11 Type of seeds used season B,int8,"1=Traditional seeds, 2=Improved seeds, 3=Both",3,7109,0,,,,
s5q4_12_c,5.4.12 Quantity of traditional seeds  sown  ( Kg),double,,0,6656,0,,,,
s5q4_13_c,5.4.13 Quantity of traditional seeds bought  ( Kg),double,,0,6656,0,,,,
s5q4_14_c,5.4.14 Amount spent for the purchase of traditional seeds ( RWF),int32,,0,3118,0,,,,
s5q4_15_c,5.4.15 Source of improved seeds/seedling,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,376,0,,,,
s5q4_16_c,5.4.16 Quantity of improved seeds  sown  ( Kg),double,,0,3424,0,,,,
s5q4_17_c,5.4.17 Quantity of improved seeds bought  ( Kg),double,,0,3424,0,,,,
