variable,label,type,value_labels,n_value_labels,n_2006,n_2009,n_2012,n_2015,n_2018,n_2021,n_2024,source,versions,label_variants,value_label_conflicts
gs14_16,"Yesterday, during the day or night, did [child name] eat any  Fresh or dried fis",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
hs14_16,"Yesterday, during the day or night, did [child name] eat any Eggs",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
is14_16,"Yesterday, during the day or night, did [child name] eat any  Vit A rich vegetab",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
js14_16,"Yesterday, during the day or night, did [child name] eat any dark green leafy ve",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
ks14_16,"Yesterday, during the day or night, did [child name] eat any Ripe mangoes, ripe",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
ls14_16,"Yesterday, during the day or night, did [child name] ea",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
ms14_16,"Yesterday, during the day or night, did [child name] eat any  Foods made with re",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
ns14_16,"Yesterday, during the day or night, did [child name] eat any shisha kibondo?",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,1814,0,0,,,,
os14_16,"Yesterday, during the day or night, did [child name] eat any other FBF (e.g. sos",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
ps14_16,"Yesterday, during the day or night, did [child name] eat any RUTF (e.g. Plumpy’N",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
qs14_16,"Yesterday, during the day or night, did [child name] eat any Iron fortified soli",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
rs14_16,"Yesterday, during the day or night, did [child name] eat any food to which you a",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
s14_17,"Yesteday, during day or night how many times did [child name] eat solid, semisol",int8,,0,0,0,0,0,2043,0,0,,,,
s14_18,Is [child name] enrolled in Shisha Kibondo?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
s14_19,Is [child name] enrolled in any supplementary feeding programme?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
s14_19_2,"If any, which supplementary feeding programme?",int8,"1=(non-hospitalized) Therapeutic feeding, 2=(hospitalized, inpatient) Therapeutic feeding, 3=Supplementary feeding",3,0,0,0,0,197,0,0,,,,
s14_20,Does [child name] present any disability preventing him or her from being measur,int8,"0=None, 1=Can't measure Odema, 2=Can't measure weight, 3=Can't measure height, 4=Can't measure MUAC",5,0,0,0,0,5929,0,0,,,,
s14_20_smt_0,Does [child name] present any disability preventing him or her from being measur,int8,"0=No, 1=Yes",2,0,0,0,0,6736,0,0,,,,
s14_20_smt_1,Does [child name] present any disability preventing him or her from being measur,int8,"0=No, 1=Yes",2,0,0,0,0,6736,0,0,,,,
s14_20_smt_2,Does [child name] present any disability preventing him or her from being measur,int8,"0=No, 1=Yes",2,0,0,0,0,6736,0,0,,,,
s14_20_smt_3,Does [child name] present any disability preventing him or her from being measur,int8,"0=No, 1=Yes",2,0,0,0,0,6736,0,0,,,,
s14_20_smt_4,Does [child name] present any disability preventing him or her from being measur,int8,"0=No, 1=Yes",2,0,0,0,0,6736,0,0,,,,
ena_survdate,Survey Date (ENA),string,,0,2059,7819,4601,4058,6736,5776,4715,,,,
ena_dob,Date of birth (ENA),string,,0,2059,7819,4601,4058,6736,5776,4715,,,,
ena_dobm,Age in Months (ENA),double,,0,0,0,0,0,5910,0,0,,,,
ena_weight,Child weight (ENA),double,,0,0,0,0,0,5910,0,0,,,,
ena_height,Child height (ENA),double,,0,0,0,0,0,5910,0,0,,,,
e0a_edema,Childh has EDEMA?,int8,"0=No, 1=Yes",2,0,0,0,0,5910,0,0,,,,
ena_muac,Child MUAC (ENA),int16,,0,0,0,0,0,5910,0,0,,,,
waz_nchs,WAZ_NCHS,double,,0,0,0,0,0,5910,0,0,,,,
haz_nchs,HAZ_NCHS,double,,0,0,0,0,0,5910,0,0,,,,
whz_nchs,WHZ_NCHS,double,,0,0,0,0,0,5910,0,0,,,,
waz_who,WAZ_WHO,double,,0,0,0,0,0,5910,0,0,,,,
haz_who,HAZ_WHO,double,,0,0,0,0,0,5910,0,0,,,,
whz_who,WHZ_WHO,double,,0,0,0,0,0,5910,0,0,,,,
bmiz_who,BMIZ_WHO,double,,0,0,0,0,0,5910,0,0,,,,
wam_nchs,WAM_NCHS,double,,0,0,0,0,0,5910,0,0,,,,
ham_nchs,HAM_NCHS,double,,0,0,0,0,0,5910,0,0,,,,
whm_nchs,WHM_NCHS,double,,0,0,0,0,0,5910,0,0,,,,
flag_nchs,Flag_NCHS,string,,0,2059,7819,4601,4058,6736,5776,4715,,,,
flag_who,Flag_WHO,string,,0,2059,7819,4601,4058,6736,5776,4715,,,,
age_cat_child,Age_6-59M_10cat,int8,"1=<6 months, 2=6-11 months, 3=12-17 months, 4=18-23 months, 5=24-29 months …",10,0,0,0,0,5723,0,0,,,,
age_6_59_5cat,Age_6-59M_5cat,int8,"1=6-11, 2=12-23, 3=24-35, 4=36-47, 5=48-59",5,0,0,0,0,5723,0,0,,,,
agecat,Age_6-23M_3cat,int8,"1=6-11 months, 2=12-17 months, 3=18-23 months",3,0,0,0,0,2040,0,0,,,,
mad_fbf1_v01,"[2018..2018 version] Last 24Hrs, child ate Grains, Roots, Tubers (FBF1)",int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf1_v02,"[2018..2018 version] Last 24Hrs, child ate Legumes and Nuts (FBF1)",int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf1_v03,"[2018..2018 version] Last 24Hrs, child ate Dairy Products (FBF1)",int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf1_v04,"[2018..2018 version] Last 24Hrs, child ate Flesh Foods and Fortified Foods (F",int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf1_v05,"[2018..2018 version] Last 24Hrs, child ate Eggs (FBF1)",int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf1_v06,"[2018..2018 version] Last 24Hrs, child ate Vitamin-A Rich Fruits and Vegetabl",int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf1_v07,"[2018..2018 version] Last 24Hrs, child ate Other Fruits and Vegetables (FBF1)",int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf1_v08,[2018..2018 version] Food Group Score (FBF1),int8,,0,0,0,0,0,2040,0,0,,,,
mad_fbf1_v09,[2018..2018 version] Number of Milk Feeds for Non-Breastfed Children (FBF1),int8,,0,0,0,0,0,181,0,0,,,,
mad_fbf1_cdds,Diet Diversity Score (FBF1),int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf1_cmmfs,Minimum Meal Frequency Score (FBF1),int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf1_cmad,Minimum Acceptable Diet Score (FBF1),int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf4_v01,"[2018..2018 version] Last 24Hrs, child ate Grains, Roots, Tubers (FBF4)",int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf4_v02,"[2018..2018 version] Last 24Hrs, child ate Legumes and Nuts (FBF4)",int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf4_v03,"[2018..2018 version] Last 24Hrs, child ate Dairy Products (FBF4)",int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf4_v04,"[2018..2018 version] Last 24Hrs, child ate Flesh Foods and Fortified Foods (F",int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf4_v05,"[2018..2018 version] Last 24Hrs, child ate Eggs (FBF4)",int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf4_v06,"[2018..2018 version] Last 24Hrs, child ate Vitamin-A Rich Fruits and Vegetabl",int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf4_v07,"[2018..2018 version] Last 24Hrs, child ate Other Fruits and Vegetables (FBF4)",int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf4_v08,[2018..2018 version] Food Group Score (FBF4),int8,,0,0,0,0,0,2040,0,0,,,,
mad_fbf4_v09,[2018..2018 version] Number of Milk Feeds for Non-Breastfed Children (FBF4),int8,,0,0,0,0,0,181,0,0,,,,
mad_fbf4_cdds,Diet Diversity Score (FBF4),int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf4_cmmfs,Minimum Meal Frequency Score (FBF4),int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
mad_fbf4_cmad,Minimum Acceptable Diet Score (FBF4),int8,"0=No, 1=Yes",2,0,0,0,0,2040,0,0,,,,
waz_who_cat,Underweight,int8,"0=Normal, 1=Moderate, 2=Severe",3,0,0,0,0,5910,0,0,,,,
whz_who_cat,Wasting,int8,"0=Normal, 1=Moderate, 2=Severe",3,0,0,0,0,5910,0,0,,,,
haz_who_cat,Stunting,int8,"0=Normal, 1=Moderate, 2=Severe",3,0,0,0,0,5910,0,0,,,,
global_stunting,Global Stunting,int8,"0=No stunted, 1=Stunted",2,0,0,0,0,5910,0,0,,,,
global_wasting,Global Wasting,int8,"0=No wasted, 1=Wasted",2,0,0,0,0,5910,0,0,,,,
global_underweight,Global Underweight,int8,"0=No underweight, 1=Underweight",2,0,0,0,0,5910,0,0,,,,
separator_two,==============================,int8,,0,0,0,0,0,0,0,0,,,,
spliter_two,For this section onwards comes mothers information,int8,,0,0,0,0,0,0,0,0,,,,
s13_01_3_v2,[2018..2018 version] Woman's age,int8,,0,0,0,0,0,5873,0,0,,"s13_01_3 (2021, 2024)",,
s13_01_4_v2,[2018..2018 version] Woman's literacy level,int8,"0=No, 1=Yes (both read and write), 2=Yes (read only)",3,0,0,0,0,5873,0,0,,"s13_01_4 (2021, 2024)",,
s13_01_5_v2,[2018..2018 version] Woman's education level,int8,"1=No school, 2=Some/still primary, 3=Completed primary, 4=Vocational school, 5=Some/still secondary …",9,0,0,0,0,5873,0,0,,"s13_01_5 (2021, 2024)",,
s13_02_v2,[2018..2018 version] Is [woman name] currently present for interview?,int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,"s13_02 (2021, 2024)",,
s13_03_v2,[2018..2018 version] Are you currently using any contraceptive methods?,int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,"s13_03 (2021, 2024)",,
s13_03_2,Which method do you use?,int8,"1=Cervical mucus, 2=Beads, 3=Pills, 4=Condom, 5=Injectables …",9,0,0,0,0,3604,0,0,,,,
s13_03_3,Specfy other methods,int8,,0,0,0,0,0,0,0,0,,,,
s13_04_v2,[2018..2018 version] Have you ever been pregnant and gave birth at least once,int8,"0=Never been pregnant, 1=Never gave birth but been pregnant, 2=Yes (was pregnant and gave brith), 88=Don't know",4,0,0,0,0,5873,0,0,,s13_04 (2021),,
s13_05_v2,[2018..2018 version] Are you currently pregnant or breastfeeding,int8,"1=Pregnant only, 2=Both (pregnant and lactating), 3=Lactating only, 4=Neither, 88=Don't know",5,0,0,0,0,5850,0,0,,"s13_05 (2021, 2024)",,
s13_05_2,Are you enrolled in the shisha kibondo / mubyeyi program?,int8,"0=No, 1=Yes",2,0,0,0,0,4223,0,0,,s13_05_2_v2 (2015),,
s13_06_v2,"[2018..2018 version] During your last pregnancy, have you ever been visited b",int8,"0=No, 1=Yes",2,0,0,0,0,5850,0,0,,"s13_06 (2021, 2024), s13_06_v3 (2015)",,
s13_07_v2,[2018..2018 version] During the first 6 weeks that s/he was born (the child t,int8,"0=No, 1=Yes",2,0,0,0,0,3905,0,0,,"s13_07 (2021, 2024)",,
s13_08_v2,[2018..2018 version] Did you see anyone for antenatal care for this/the recen,int8,"0=No, 1=Yes",2,0,0,0,0,5850,0,0,,"s13_08 (2021, 2024)",,
s13_08_2,Where did you receive antenatal care for this/the recent pregnancy?,int8,"1=Public health care provider (at health center or hospital), 2=Private health care provider (at health center or hospital), 3=Other (speficy)",3,0,0,0,0,5726,0,0,,,,
s13_08_3,How many months pregnant were you when you first received antenatal care for the,int8,,0,0,0,0,0,5689,0,0,,,,
s13_09_v2,[2018..2018 version] How many antenatal care visits did you attend during you,int8,,0,0,0,0,0,5838,0,0,,"s13_09 (2021, 2024)",,
s13_10_v2,"[2018..2018 version] During your recent pregnancy, did you take any iron supp",int8,"0=No, 1=Yes",2,0,0,0,0,5850,0,0,,"s13_10 (2021, 2024)",,
s13_10_2,"Women are usually given 90 pills, how many of those did you take?",int8,"1=All of them (90 pills), 2=More than a half (50 - 75 pills), 3=About a half (35 - 45 pills), 4=Less than a half (<35 pills)",4,0,0,0,0,3921,0,0,,,,
s13_11_v2,[2018..2018 version] Have you ever received any counselling or education on n,int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,"s13_11 (2021, 2024)",,
s13_11_2_v2,[2018..2018 version] Who provided this counseling or education on nutrition?,int8,"1=Health care worker (CHW), 2=Heath facility worker, 3=NGO worker, 4=Mothers in the community, 5=Local authorities …",7,0,0,0,0,2802,0,0,,"s13_11_2 (2021, 2024)",,
s13_12_v2,[2018..2018 version] Did you sleep under a mosquito net last night?,int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,"s13_12 (2021, 2024)",,
s13_13_v2,[2018..2018 version] Have you ever been ill during the last two weeks?,int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,"s13_13 (2021, 2024)",,
s13_13_2,"Last 2 weeks when you were sick, did you consult any healthcare service?",int8,"0=None, 1=Staff at health facility, 2=Community health care worker, 3=Traditional",4,0,0,0,0,2065,0,0,,,,
s13_14_v2,[2018..2018 version] Tell me all the times you wash hands,int8,"1=Before preparing meals, 2=After cleaning a child from toilet, 3=Before eating, 4=Whenever their dirty, 5=After visiting toilet …",7,0,0,0,0,920,0,0,,"s13_14 (2021, 2024)",,
s13_14_smt_1,Tell me all the times you wash hands (Before preparing meals),int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
s13_14_smt_2,Tell me all the times you wash hands (After cleaning a child from toilet),int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
s13_14_smt_3,Tell me all the times you wash hands (Before eating),int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
s13_14_smt_4,Tell me all the times you wash hands (Whenever their dirty),int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
s13_14_smt_5,Tell me all the times you wash hands (After visiting toilet),int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
s13_14_smt_6,Tell me all the times you wash hands (Other),int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
s13_14_smt_88,Tell me all the times you wash hands (Never),int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
s13_14_2,"The last time you washed your hands, what did  you use?",int8,"1=Water only, 2=Water and homemade soap, 3=Water and washing soap, 4=Other",4,0,0,0,0,5862,0,0,,,,
s13_15,Does the woman present any disability the prevents her from being measured MUAC?,int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
s13_16,Mother's  MUAC in mm,int16,,0,0,0,0,0,5842,0,0,,,,
muac_cat_v2,[2018..2018 version] Mother's  MUAC in mm (categories),int8,"1=<210cm, 2=210-230 cm, 3=>230 cm",3,0,0,0,0,5842,0,0,,muac_cat (2021),,
as13_17,"Foods made from grains (Porridge, bread, rice, pasta/noodles or other foods made",int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
bs13_17,"White roots and tubers and plantains (White potatoes, white yams, manioc/cassava",int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
cs13_17,"Pulses (beans, peas and lentils) (Mature beans or peas (fresh or dried seed), le",int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
ds13_17,"Nuts and seeds (Any tree nut, groundnut/peanut or certain seeds, or nut/seed “bu",int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
es13_17,"Milk and milk products (Milk, cheese, yoghurt or other milk products but NOT inc",int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
gs13_17,"Organ meat (Liver, kidney, heart or other organ meats or blood-based foods, incl",int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
hs13_17,"Meat and poultry (Beef, pork, lamb, goat, rabbit, wild game meat, chicken, duck",int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
is13_17,"Fish and seafood (Fresh or dried fish, shellfish or seafood )",int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
js13_17,Eggs (Eggs from poultry or any other bird ),int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
ks13_17,Dark green leafy vegetables (List examples of any medium-to-dark green leafy veg,int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
ls13_17,"Vitamin A-rich vegetables, roots and tubers (Pumpkin, carrots, squash or sweet p",int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
ms13_17_v2,"[2018..2018 version] Vitamin A-rich fruits (Ripe mango, ripe papaya, tree tom",int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,ms13_17 (2021),,
ns13_17,Other vegetables (),int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
os13_17,Other fruits (),int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
ps13_17,Shisha Kibondo/ Mubyeyi,int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
qs13_17,"Any fortified blended foods (Nootri-mama, Nootri family, Sosoma)",int8,"0=No, 1=Yes",2,0,0,0,0,5873,0,0,,,,
cereals_mddw,Cereals_MDDW,int8,,0,0,0,0,0,5873,0,0,,,,
pulses_mddw,Pulses_MDDW,int8,,0,0,0,0,0,5873,0,0,,,,
nuts_mddw,Nuts_MDDW,int8,,0,0,0,0,0,5873,0,0,,,,
milk_mddw,Milk_MDDW,int8,,0,0,0,0,0,5873,0,0,,,,
meat_mddw,Meat_MDDW,int8,,0,0,0,0,0,5873,0,0,,,,
eggs_mddw,Eggs_MDDW,int8,,0,0,0,0,0,5873,0,0,,,,
greenveg_mddw,GreenVeg_MDDW,int8,,0,0,0,0,0,5873,0,0,,,,
vita_mddw,VitA_MDDW,int8,,0,0,0,0,0,5873,0,0,,,,
otherveg_mddw,OtherVeg_MDDW,int8,,0,0,0,0,0,5873,0,0,,,,
otherfruit_mddw,OtherFruit_MDDW,int8,,0,0,0,0,0,5873,0,0,,,,
tot_mddw,Minimum Dietary Diverstity - Women,int8,,0,0,0,0,0,5873,0,0,,,,
mddwless5,Minimum Dietary Diverstity - Women (Categories),int8,"1=<5 food groups, 2=5 food groups or more",2,0,0,0,0,5873,0,0,,,,
age_cat_child_rec,Child age class,int8,"1=Less than 6 months, 2=6 - 23 Months, 3=24-59 months, 4=No age recorded",4,0,0,0,0,6736,0,0,,,,
s13_01,S13_01 Child index from demograpy section,int8,,0,0,0,0,0,0,5776,4715,,s13_01_v2 (2015),2021: Child index from demograpy section,
s13_01_2,S13_01_2 Child's name,string,,0,2059,7819,4601,4058,6736,5776,4715,,,2021: Child's name,
s13_01_3,S13_01_3 Child date of birth,string,,0,2059,7819,4601,4058,6736,5776,4715,,s13_01_3_v2 (2018),2021: Child date of birth,
s13_01_4,S13_01_4 Child age in months,double,,0,0,0,0,0,0,5776,4715,,s13_01_4_v2 (2018),2021: Child age in months,
s13_01_5,S13_01_5 Child sex,int8,"1=Male, 2=Female",2,0,0,0,0,0,5776,4715,,s13_01_5_v2 (2018),2021: Child sex,
s13_02,S13_02 Primary Caregiver of Child,int8,"1=Mother, 2=Father, 3=Grandmother, 4=Close family relative, 5=Other relationship …",6,0,0,0,0,0,5776,4715,,s13_02_v2 (2018),2021: Primary Caregiver of Child,
s13_03,S13_03 Respondent's relationship with child?,int8,"1=Mother, 2=Father, 3=Grandmother, 4=Close family relative, 5=Other relationship …",6,0,0,0,0,0,5776,4715,,s13_03_v2 (2018),2021: Respondent's relationship with child?,
s13_04,Child's mother,int8,"1=${S1C20}, 2=${S1C21}, 3=${S1C22}, 4=${S1C23}, 5=${S1C24} …",32,0,0,0,0,0,5776,0,,s13_04_v2 (2018),,
mother_education,Child mother Education level,int8,"1=No school, 2=Some/still primary, 3=Completed primary, 4=Vocational school, 5=Some/still secondary …",9,0,0,0,0,0,5516,0,,,,
s13_05,S13_05 Is [CHILD_NAME] currently present for interview and anthropometric measur,int8,"0=No, 1=Yes",2,0,0,0,0,0,5776,4715,,s13_05_v2 (2018),2021: Is [Name] currently present for interview and anth,
s13_06,"S13_06 When born, how big in Kg was [CHILD_NAME], refer to the child growth card",double,,0,0,0,0,0,0,5182,4715,,"s13_06_v2 (2018), s13_06_v3 (2015)","2021: When born, how big in Kg was [Name], refer to the ",
s13_07,"S13_07 Since September 2023 (last 6 months), has [NAME] received vit A drops? (s",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,5160,4261,,s13_07_v2 (2018),"2021: Since September 2020 (last 6 months), has [NAME] r",
s13_08,"S13_08 During last six months, did [CHILD_NAME] receive deworming tablets?",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,4627,3807,,s13_08_v2 (2018),"2021: During last six months, did [Name] receive dewormi",
s13_09,S13_09 Has [CHILD_NAME] had illness with fever during last two weeks?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,5160,4261,,s13_09_v2 (2018),2021: Has [Name] had illness with fever during last two ,
s13_10,S13_10 Has [CHILD_NAME] had illness with cough during last two weeks?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,5160,4261,,s13_10_v2 (2018),2021: Has [Name] had illness with cough during last two ,
s13_11,S13_11 Has [CHILD_NAME] had illness with diarrhea during last two weeks?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,5160,4261,,s13_11_v2 (2018),2021: Has [Name] had illness with diarrhea during last t,
s13_11_2,"S13_11_2 During the last 2 weeks when [CHILD_NAME] had diarrhea, how did you tre",string,,0,2059,7819,4601,4058,6736,5776,4715,,s13_11_2_v2 (2018),"2021: During the last 2 weeks when [Name] had diarrhea, ",
s13_11_2_smt_1_v2,"[2021..2021 version] During the last 2 weeks when [Name] had diarrhea, how di",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,907,0,,s13_11_2_smt_1 (2024),,
s13_11_2_smt_2_v2,"[2021..2021 version] During the last 2 weeks when [Name] had diarrhea, how di",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,907,0,,s13_11_2_smt_2 (2024),,
s13_11_2_smt_3_v2,"[2021..2021 version] During the last 2 weeks when [Name] had diarrhea, how di",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,907,0,,s13_11_2_smt_3 (2024),,
s13_11_2_smt_4_v2,"[2021..2021 version] During the last 2 weeks when [Name] had diarrhea, how di",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,907,0,,s13_11_2_smt_4 (2024),,
s13_11_2_smt_5_v2,"[2021..2021 version] During the last 2 weeks when [Name] had diarrhea, how di",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,907,0,,s13_11_2_smt_5 (2024),,
s13_11_2_smt_6_v2,"[2021..2021 version] During the last 2 weeks when [Name] had diarrhea, how di",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,907,0,,s13_11_2_smt_6 (2024),,
s13_11_2_smt_7_v2,"[2021..2021 version] During the last 2 weeks when [Name] had diarrhea, how di",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,907,0,,s13_11_2_smt_7 (2024),,
s13_11_2_smt_8_v2,"[2021..2021 version] During the last 2 weeks when [Name] had diarrhea, how di",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,907,0,,s13_11_2_smt_8 (2024),,
s13_11_2_smt_88_v2,"[2021..2021 version] During the last 2 weeks when [Name] had diarrhea, how di",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,907,0,,s13_11_2_smt_88 (2024),,
s13_11_2_2,Please specify what other treatment wereâ€¦,string,,0,2059,7819,4601,4058,6736,5776,4715,,,,
s13_12,"S13_12 During last two weeks when [CHILD_NAME] was sick, did s/he see any health",int8,"0=None, 1=Staff at health facility, 2=Community health care worker, 3=Staff at Private hospital, 4=Traditional",5,0,0,0,0,0,3073,2780,,s13_12_v2 (2018),"2021: During last two weeks when [Name] was sick, did s/",
s13_13,S13_13 Does [CHILD_NAME] have his/her hands washed before eating/meal,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,5160,4261,,s13_13_v2 (2018),2021: Does [Name] have his/her hands washed before eatin,
s13_14,S13_14 Did [CHILD_NAME] sleep under a mosquito net last night?,int8,"0=No, 1=Yes",2,0,0,0,0,0,5160,4261,,s13_14_v2 (2018),2021: Did [Name] sleep under a mosquito net last night?,
as13_15,AS13_15 Was [CHILD_NAME] breastfed yesterday during day or at night?,int8,"0=No, 1=Yes",2,0,0,0,0,0,2066,1896,,,2021: Was [Name] breastfed yesterday during day or at ni,
as13_15_2,AS13_15_2 Has [CHILD_NAME]ever been breastfed?,int8,"0=No, 1=Yes",2,0,0,0,0,0,110,110,,,2021: Has [Name]ever been breastfed?,
as13_15_2_1,. Why did you stop breastfeeding?,int8,"0=Stop breastfeeding because of Covid19 reasons, 1=Doctor/nurse told me to stop breastfeeding or not to start breastfeeding because of COVID-19, 2=A family member/friend told me to stop/not to BF because of COVID-19, 3=I heard on the radio/TV/read online that Covid is in breastmilk and not to breastfeed, 4=I heard on social media that Covid is in breastmilk and not to breastfeed …",8,0,0,0,0,0,100,0,,,,
as13_15_2_0,. Other reasons(Specify),string,,0,2059,7819,4601,4058,6736,5776,4715,,,,
as13_15_3,AS13_15_3 How long after birth did you first put [CHILD_NAME]to the breast after,int8,"1=Less than 1 hour, 2=Between 1 -23 hours, 3=24 hours or more, 4=Don't remember",4,0,0,0,0,0,2056,1890,,,2021: How long after birth did you first put [Name]to th,
bs13_15,"BS13_15 Yesterday, during the day or night, did [CHILD_NAME] drink Plain water",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,2059,1896,,,"2021: Yesterday, during the day or night, did [Name] dri",
cs13_15,"CS13_15 Yesterday, during the day or night, did [CHILD_NAME] drink any drinks ma",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,2065,1896,,,"2021: Yesterday, during the day or night, did [Name] dri",
cs13_15_2,CS13_15_2 How many times did [CHILD_NAME] consume this Infant formula,int8,,0,0,0,0,0,0,37,38,,,2021: How many times did [Name] consume this Infant form,
ds13_15,"DS13_15 Yesterday, during the day or night, did [CHILD_NAME] drink any Milk made",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,2065,1896,,,"2021: Yesterday, during the day or night, did [Name] dri",
ds13_15_2,"DS13_15_2 How many times did [CHILD_NAME] consume Milk (tinned, powdered, fresh",int8,,0,0,0,0,0,0,262,231,,,"2021: How many times did [Name] consume Milk (tinned, po",
