21:37:19 02_checks INFO ==== 02_checks | run 20260905-213719_02_checks | python 3.13.5 | pandas 2.2.3 | pyreadstat 1.3.4
21:38:43 02_checks INFO 
# Harmonization checks report

Generated by 02_checks.py.

## A. Completeness and no data loss (rows and native columns of the CURRENT source file)

| section | statistic | harmonised | reference | result |
| C | EICV: rows with h_educ = tertiary and s2cq3 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s4aq2_v4 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s4aq2_v3 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s4aq2_v2 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s4aq2 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s4aq2a in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s4aq20 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: households with exactly one head, share x 1000 | 1,000 | 1,000 | PASS |

## D. Weighted employment-to-population ratio, persons aged 16+ (informational: definitions differ, see h_lfs_def)

| section | dataset / wave | h_lfs_def | employed 16+ / population 16+ with a status (%) | employed persons (weighted; LFS annual weights already average the rounds) | result |
|---|---|---|---:|---:|---|
| D | LFS_person 2017 | 1 | 44.2 | 2,989,249 | n/a |
| D | LFS_person 2018 | 1 | 46.0 | 3,207,336 | n/a |
| D | LFS_person 2019 | 1 | 45.3 | 3,273,921 | n/a |
| D | LFS_person 2020 | 1 | 46.5 | 3,460,294 | n/a |
| D | LFS_person 2021 | 1 | 42.6 | 3,287,697 | n/a |
| D | LFS_person 2022 | 1 | 44.5 | 3,546,352 | n/a |
| D | LFS_person 2023 | 1 | 49.0 | 3,958,817 | n/a |
| D | LFS_person 2024 | 1 | 53.5 | 4,444,684 | n/a |
| D | LFS_person 2025 | 1 | 55.9 | 4,772,705 | n/a |
| D | Census_person 2002 | 2 | 77.8 | 3,209,626 | n/a |
| D | Census_person 2012 | 3 | 71.0 | 4,151,298 | n/a |
| D | EICV_person EICV1 | 4 | 86.7 | 3,570,734 | n/a |
| D | EICV_person EICV2 | 4 | 84.0 | 4,299,206 | n/a |
| D | EICV_person EICV3 | 5 | 84.3 | 4,959,170 | n/a |
| D | EICV_person EICV4_CS | 6 | 85.6 | 5,478,572 | n/a |
| D | EICV_person EICV5_CS | 5 | 86.2 | 5,825,473 | n/a |
| D | EICV_person EICV7_CS | 7 | 80.4 | 6,591,830 | n/a |
| D | AHS_person 2017 | 8 | 83.8 | 4,496,557 | n/a |
| D | AHS_person 2020 | 8 | 84.4 | 5,143,622 | n/a |
| D | AHS_person 2024 | 7 | 82.7 | 4,741,217 | n/a |

**All checks passed.**
21:38:43 02_checks INFO 02_checks done
